日期,复工指数,缺工指数,省份,序号
3月4日,0.504,0.375,黑龙江省,546
3月5日,0.521,0.361,黑龙江省,547
3月6日,0.531,0.358,黑龙江省,548
3月9日,0.57,0.355,黑龙江省,549
3月10日,0.58,0.353,黑龙江省,550
3月11日,0.611,0.352,黑龙江省,551
3月12日,0.633,0.35,黑龙江省,552
3月13日,0.662,0.349,黑龙江省,553
3月16日,0.725,0.345,黑龙江省,554
3月17日,0.731,0.344,黑龙江省,555
3月18日,0.73,0.343,黑龙江省,556
3月19日,0.733,0.342,黑龙江省,557
3月20日,0.754,0.341,黑龙江省,558
3月23日,0.796,0.337,黑龙江省,559
3月24日,0.799,0.337,黑龙江省,560
3月25日,0.81,0.336,黑龙江省,561
2月10日,0.438,0.442,吉林,562
2月11日,0.435,0.438,吉林,563
2月12日,0.445,0.434,吉林,564
2月13日,0.449,0.431,吉林,565
2月14日,0.449,0.428,吉林,566
2月17日,0.497,0.417,吉林,567
2月18日,0.513,0.413,吉林,568
2月19日,0.536,0.408,吉林,569
2月20日,0.569,0.404,吉林,570
2月21日,0.586,0.401,吉林,571
2月24日,0.698,0.387,吉林,572
2月25日,0.676,0.38,吉林,573
2月26日,0.681,0.376,吉林,574
2月27日,0.687,0.371,吉林,575
2月28日,0.665,0.368,吉林,576
3月2日,0.747,0.356,吉林,577
3月3日,0.731,0.353,吉林,578
3月4日,0.713,0.352,吉林,579
3月5日,0.752,0.349,吉林,580
3月6日,0.765,0.348,吉林,581
3月9日,0.787,0.343,吉林,582
3月10日,0.792,0.339,吉林,583
3月11日,0.812,0.336,吉林,584
3月12日,0.811,0.331,吉林,585
3月13日,0.835,0.329,吉林,586
3月16日,0.863,0.318,吉林,587
3月17日,0.847,0.313,吉林,588
3月18日,0.866,0.31,吉林,589
3月19日,0.855,0.306,吉林,590
3月20日,0.886,0.304,吉林,591
3月23日,0.917,0.291,吉林,592
3月24日,0.915,0.286,吉林,593
3月25日,0.912,0.281,吉林,594
2月10日,0.357,0.568,江苏省,595
2月11日,0.329,0.565,江苏省,596
2月12日,0.365,0.563,江苏省,597
2月13日,0.377,0.56,江苏省,598
2月14日,0.382,0.557,江苏省,599
2月17日,0.426,0.546,江苏省,600
2月18日,0.451,0.539,江苏省,601
2月19日,0.468,0.531,江苏省,602
2月20日,0.511,0.521,江苏省,603
2月21日,0.546,0.508,江苏省,604
2月24日,0.65,0.462,江苏省,605
2月25日,0.644,0.446,江苏省,606
2月26日,0.664,0.431,江苏省,607
2月27日,0.679,0.419,江苏省,608
2月28日,0.657,0.407,江苏省,609
3月2日,0.76,0.371,江苏省,610
3月3日,0.768,0.36,江苏省,611
3月4日,0.777,0.349,江苏省,612
3月5日,0.786,0.341,江苏省,613
3月6日,0.796,0.331,江苏省,614
3月9日,0.8,0.309,江苏省,615
3月10日,0.837,0.301,江苏省,616
3月11日,0.859,0.294,江苏省,617
3月12日,0.868,0.288,江苏省,618
3月13日,0.856,0.281,江苏省,619
3月16日,0.902,0.264,江苏省,620
3月17日,0.911,0.258,江苏省,621
3月18日,0.917,0.254,江苏省,622
3月19日,0.916,0.249,江苏省,623
3月20日,0.928,0.244,江苏省,624
3月23日,0.945,0.232,江苏省,625
3月24日,0.946,0.229,江苏省,626
3月25日,0.936,0.226,江苏省,627
2月10日,0.43,0.387,山西省,628
2月11日,0.413,0.384,山西省,629
2月12日,0.413,0.383,山西省,630
2月13日,0.421,0.344,山西省,631
2月14日,0.411,0.286,山西省,632
2月17日,0.452,0.28,山西省,633
2月18日,0.46,0.278,山西省,634
2月19日,0.475,0.279,山西省,635
2月20日,0.475,0.282,山西省,636
2月21日,0.495,0.283,山西省,637
2月24日,0.567,0.284,山西省,638
2月25日,0.59,0.281,山西省,639
2月26日,0.587,0.279,山西省,640
2月27日,0.535,0.276,山西省,641
2月28日,0.597,0.273,山西省,642
3月2日,0.675,0.26,山西省,643
3月3日,0.691,0.257,山西省,644
3月4日,0.706,0.254,山西省,645
3月5日,0.718,0.251,山西省,646
3月6日,0.74,0.247,山西省,647
3月9日,0.779,0.234,山西省,648
3月10日,0.786,0.23,山西省,649
3月11日,0.801,0.225,山西省,650
3月12日,0.799,0.221,山西省,651
3月13日,0.818,0.218,山西省,652
3月16日,0.863,0.204,山西省,653
3月17日,0.866,0.2,山西省,654
3月18日,0.861,0.196,山西省,655
3月19日,0.876,0.191,山西省,656
3月20日,0.9,0.188,山西省,657
3月23日,0.921,0.175,山西省,658
3月24日,0.919,0.172,山西省,659
3月25日,0.931,0.17,山西省,660
2月10日,0.455,0.385,甘肃省,661
2月11日,0.452,0.382,甘肃省,662
2月12日,0.459,0.379,甘肃省,663
2月13日,0.464,0.375,甘肃省,664
2月14日,0.457,0.37,甘肃省,665
2月17日,0.537,0.352,甘肃省,666
2月18日,0.542,0.345,甘肃省,667
2月19日,0.557,0.338,甘肃省,668
2月20日,0.542,0.33,甘肃省,669
2月21日,0.609,0.324,甘肃省,670
2月24日,0.798,0.299,甘肃省,671
2月25日,0.785,0.29,甘肃省,672
2月26日,0.786,0.279,甘肃省,673
2月27日,0.729,0.27,甘肃省,674
2月28日,0.808,0.261,甘肃省,675
3月2日,0.862,0.229,甘肃省,676
3月3日,0.861,0.22,甘肃省,677
3月4日,0.868,0.212,甘肃省,678
3月5日,0.863,0.204,甘肃省,679
3月6日,0.881,0.197,甘肃省,680
3月9日,0.888,0.178,甘肃省,681
3月10日,0.897,0.171,甘肃省,682
3月11日,0.897,0.165,甘肃省,683
3月12日,0.894,0.157,甘肃省,684
3月13日,0.917,0.149,甘肃省,685
