Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
2020/06/18,31152.062870750593,31152.105325848024,0.013003557309275493,0.009292963768530171,27087.517367455464,110.12952965306249,4064.5455032951286,30807.0,31499.0,30807.0,31498.0,,,,,
2020/06/19,31152.074838645032,31152.113944014007,0.011967894439294469,0.008618165982625214,27194.74196249099,107.22459503552454,3957.3328761540433,30807.0,31499.0,30807.0,31498.0,,,,,
2020/06/20,31152.085870754785,31152.121946645322,0.011032109752704855,0.008002631315321196,27299.138230344557,104.39626785356813,3852.947640410228,30807.0,31499.0,30807.0,31499.0,,,,,
2020/06/21,31152.096055804785,31152.129386996097,0.010185049999563489,0.007440350775141269,27400.780759998826,101.64252965426931,3751.315295805958,30807.0,31498.0,30807.0,31500.0,,,,,
2020/06/22,31152.10547276889,31152.13631299389,0.009416964105184888,0.0069259977935871575,27499.742174956027,98.96141495720076,3652.3632978128626,30806.0,31498.0,30807.0,31499.0,,,,,
2020/06/23,31152.114192077235,31152.14276783698,0.008719308345462196,0.006454843089159112,27596.093184847286,96.35100989125931,3556.0210072299487,30806.0,31498.0,30808.0,31498.0,,,,,
2020/06/24,31152.12227665884,31152.1487905183,0.008084581604634877,0.006022681318427203,27689.90263570804,93.80945086075371,3462.2196409507997,30807.0,31499.0,30807.0,31498.0,,,,,
2020/06/25,31152.129782838707,31152.154416283494,0.007506179867050378,0.0056257651958731,27781.237558938254,91.33492323021346,3370.8922239004532,30808.0,31499.0,30806.0,31498.0,,,,,
2020/06/26,31152.136761128804,31152.1596770393,0.006978290097322315,0.005260755806375528,27870.163219063255,88.92566012500174,3281.973542065549,30807.0,31499.0,30806.0,31499.0,,,,,
2020/06/27,31152.14325690032,31152.16460170742,0.0064957715148921125,0.0049246681192016695,27956.74316016028,86.57994109702486,3195.400096740039,30806.0,31499.0,30807.0,31499.0,,,,,
2020/06/28,31152.149310973593,31152.169216538918,0.006054073273844551,0.004614831497747218,28041.039251114133,84.2960909538524,3111.1100598594603,30807.0,31498.0,30807.0,31498.0,,,,,
2020/06/29,31152.154960136955,31152.173545392623,0.005649163362249965,0.004328853705374058,28123.111729703473,82.07247858933988,3029.0432304334827,30806.0,31498.0,30807.0,31498.0,,,,,
2020/06/30,31152.16023759724,31152.17760998107,0.00527746028456022,0.004064588447363349,28203.019245526073,79.90751582260054,2949.1409920711667,30807.0,31500.0,30806.0,31499.0,,,,,
2020/07/01,31152.165173374186,31152.181430088585,0.004935776945785619,0.003820107514911797,28280.818901804112,77.79965627803904,2871.3462715700734,30807.0,31498.0,30806.0,31498.0,,,,,
2020/07/02,31152.16979464891,31152.185023765833,0.004621274725650437,0.0035936772474087775,28356.56629613829,75.74739433417926,2795.60349851062,30807.0,31498.0,30807.0,31499.0,,,,,
2020/07/03,31152.174126065605,31152.1884075004,0.004331416694185464,0.0033837345690699294,28430.315560101335,73.74926396304363,2721.8585659642704,30807.0,31498.0,30807.0,31498.0,,,,,
2020/07/04,31152.178190002196,31152.191596370947,0.004063936590682715,0.0031888705452729482,28502.11939788464,71.8038377833036,2650.0587921175575,30806.0,31499.0,30806.0,31499.0,,,,,
2020/07/05,31152.182006806266,31152.194604183176,0.00381680407008389,0.0030078122290433384,28572.029123867374,69.90972598273584,2580.1528829388917,30807.0,31499.0,30807.0,31499.0,,,,,
2020/07/06,31152.185595004492,31152.197443592126,0.0035881982257706113,0.00283940894951229,28640.09469924796,68.06557538058405,2512.0908957565334,30807.0,31499.0,30807.0,31499.0,,,,,
2020/07/07,31152.188971488096,31152.20012621102,0.0033764836043701507,0.0026826188950508367,28706.364767692827,66.27006844486823,2445.8242037952696,30807.0,31499.0,30807.0,31499.0,,,,,
2020/07/08,31152.19215167653,31152.202662708332,0.003180188432452269,0.002536497311666608,28770.886690014395,64.52192232156813,2381.305461662134,30807.0,31498.0,30806.0,31499.0,,,,,
2020/07/09,31152.195149666855,31152.205062897126,0.002997990326548461,0.002400188794126734,28833.70657814144,62.81988812704367,2318.488571525417,30806.0,31499.0,30806.0,31498.0,,,,,
2020/07/10,31152.197978357734,31152.207335810555,0.0028286908782320097,0.0022729134288965724,28894.869327803877,61.16274966243873,2257.3286505538563,30807.0,31499.0,30807.0,31499.0,,,,,
2020/07/11,31152.200649568436,31152.20948977377,0.00267121070282883,0.0021539632143685594,28954.418650689768,59.54932288589043,2197.7819988786687,30806.0,31499.0,30807.0,31498.0,,,,,
2020/07/12,31152.20317414225,31152.21153246732,0.002524573814298492,0.0020426935516297817,29012.39710566931,57.97845497954404,2139.806068472939,30807.0,31499.0,30807.0,31499.0,,,,,
2020/07/13,31152.20556203859,31152.213470984203,0.0023878963402239606,0.0019385168816370424,29068.846129198377,56.449023529065016,2083.359432840214,30807.0,31498.0,30807.0,31498.0,,,,,
2020/07/14,31152.207822413962,31152.21531188071,0.0022603753714065533,0.0018408965079288464,29123.806064842127,54.959935643750214,2028.4017575718353,30807.0,31499.0,30807.0,31499.0,,,,,
2020/07/15,31152.209963696827,31152.217061223102,0.0021412828646134585,0.0017493423911218997,29177.316192099886,53.51012725775945,1974.8937715969405,30808.0,31498.0,30807.0,31499.0,,,,,
2020/07/16,31152.21199365414,31152.2187246297,0.0020299573116062675,0.0016634065977996215,29229.414754490776,52.09856239088913,1922.797239163363,30808.0,31499.0,30806.0,31499.0,,,,,
2020/07/17,31152.213919450787,31152.220307308802,0.0019257966487202793,0.001582679102284601,29280.13898687455,50.724232383774506,1872.0749325762372,30806.0,31498.0,30807.0,31499.0,,,,,
2020/07/18,31152.215747702583,31152.221814092758,0.0018282517958141398,0.0015067839558469132,29329.525142004277,49.38615512972683,1822.6906056983062,30807.0,31498.0,30807.0,31497.0,,,,,
2020/07/19,31152.217484524772,31152.22324946915,0.0017368221888318658,0.0014353763908729888,29377.608516415723,48.08337441144613,1774.6089681090489,30807.0,31499.0,30807.0,31499.0,,,,,
2020/07/20,31152.21913557571,31152.224617609172,0.0016510509376530536,0.0013681400232599117,29424.42347567531,46.81495925958734,1727.7956599003992,30807.0,31499.0,30807.0,31498.0,,,,,
2020/07/21,31152.220706096112,31152.22592239333,0.001570520402310649,0.0013047841566731222,29470.003478936676,45.58000326136607,1682.2172271594354,30806.0,31498.0,30807.0,31499.0,,,,,
2020/07/22,31152.22220094425,31152.22716743457,0.0014948481366445776,0.0012450412395992316,29514.38110281204,44.3776238753635,1637.8410981322086,30807.0,31499.0,30807.0,31498.0,,,,,
2020/07/23,31152.223624628044,31152.2283560995,0.001423683796019759,0.0011886649299412966,29557.588064617223,43.2069618051828,1594.6355600108218,30807.0,31500.0,30807.0,31499.0,,,,,
