Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up
0.0,3.92901711165905e-10,20.83326282994676,3.92901711165905e-10,2020/06/24,50006.54799981565,50006.54799979855,49681.9576150933,0.0,50006.54799979855,,,,,,49569.0,50446.0,49569.0,50446.0
0.0,-1.7462298274040222e-10,20.818921817051887,-1.7462298274040222e-10,2020/06/25,50006.54799981565,50006.54799979838,49702.77653691036,0.0,50006.54799979838,,,,,,49568.0,50445.0,49568.0,50446.0
0.0,-4.2928149923682213e-10,20.805674975796137,-4.2928149923682213e-10,2020/06/26,50006.54799981565,50006.54799979795,49723.58221188616,0.0,50006.54799979795,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,-1.673470251262188e-10,20.793438722394054,-1.673470251262188e-10,2020/06/27,50006.54799981565,50006.54799979778,49744.375650608556,0.0,50006.54799979778,,,,,,49569.0,50445.0,49570.0,50445.0
0.0,5.893525667488575e-10,20.782136023626663,5.893525667488575e-10,2020/06/28,50006.54799981565,50006.54799979837,49765.157786632175,0.0,50006.54799979837,,,,,,49568.0,50445.0,49569.0,50445.0
0.0,9.240466170012951e-10,20.771695657538658,9.240466170012951e-10,2020/06/29,50006.54799981565,50006.547999799295,49785.92948228971,0.0,50006.547999799295,,,,,,49570.0,50444.0,49568.0,50446.0
0.0,-3.637978807091713e-10,20.76205182902777,-3.637978807091713e-10,2020/06/30,50006.54799981565,50006.54799979893,49806.69153411874,0.0,50006.54799979893,,,,,,49569.0,50444.0,49568.0,50445.0
0.0,-1.5497789718210697e-09,20.753143765366982,-1.5497789718210697e-09,2020/07/01,50006.54799981565,50006.54799979738,49827.44467788411,0.0,50006.54799979738,,,,,,49570.0,50445.0,49569.0,50446.0
0.0,-1.3460521586239338e-09,20.744915336217677,-1.3460521586239338e-09,2020/07/02,50006.54799981565,50006.547999796036,49848.18959322033,0.0,50006.547999796036,,,,,,49569.0,50444.0,49569.0,50445.0
0.0,3.2741809263825417e-10,20.737314691810752,3.2741809263825417e-10,2020/07/03,50006.54799981565,50006.54799979636,49868.92690791214,0.0,50006.54799979636,,,,,,49569.0,50446.0,49569.0,50446.0
0.0,3.2378011383116245e-09,20.730293936758247,3.2378011383116245e-09,2020/07/04,50006.54799981565,50006.5479997996,49889.657201848895,0.0,50006.5479997996,,,,,,49569.0,50445.0,49569.0,50446.0
0.0,2.546585164964199e-09,20.7238088214217,2.546585164964199e-09,2020/07/05,50006.54799981565,50006.54799980215,49910.381010670324,0.0,50006.54799980215,,,,,,49569.0,50446.0,49569.0,50446.0
0.0,-3.5433913581073284e-09,20.717818487872137,-3.5433913581073284e-09,2020/07/06,50006.54799981565,50006.547999798604,49931.09882915818,0.0,50006.547999798604,,,,,,49568.0,50446.0,49569.0,50444.0
0.0,-6.388290785253048e-09,20.712285191555566,-6.388290785253048e-09,2020/07/07,50006.54799981565,50006.547999792216,49951.811114349744,0.0,50006.547999792216,,,,,,49569.0,50445.0,49568.0,50445.0
0.0,-3.092281986027956e-09,20.707174053757626,-3.092281986027956e-09,2020/07/08,50006.54799981565,50006.54799978912,49972.518288403495,0.0,50006.54799978912,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,6.315531209111214e-09,20.70245287414582,6.315531209111214e-09,2020/07/09,50006.54799981565,50006.54799979544,49993.22074127765,0.0,50006.54799979544,,,,,,49569.0,50446.0,49569.0,50444.0
0.0,1.6152625903487206e-08,20.698091900805593,1.6152625903487206e-08,2020/07/10,50006.54799981565,50006.54799981159,50013.918833178446,0.0,50006.54799981159,,,,,,49568.0,50446.0,49568.0,50445.0
0.0,4.059984348714352e-09,20.694063647220897,4.059984348714352e-09,2020/07/11,50006.54799981565,50006.54799981565,50034.61289682568,0.0,50006.54799981565,,,,,,49569.0,50446.0,49570.0,50446.0
0.0,-1.5701516531407833e-08,20.690342735753802,-1.5701516531407833e-08,2020/07/12,50006.54799981565,50006.54799979995,50055.303239561435,0.0,50006.54799979995,,,,,,49569.0,50445.0,49569.0,50446.0
0.0,1.6880221664905548e-09,20.68690571414481,1.6880221664905548e-09,2020/07/13,50006.54799981565,50006.54799980164,50075.990145275566,0.0,50006.54799980164,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,-4.118192009627819e-09,20.683730922537507,-4.118192009627819e-09,2020/07/14,50006.54799981565,50006.54799979752,50096.67387619812,0.0,50006.54799979752,,,,,,49569.0,50444.0,49567.0,50445.0
0.0,1.9936123862862587e-09,20.680798360932386,1.9936123862862587e-09,2020/07/15,50006.54799981565,50006.54799979951,50117.354674559036,0.0,50006.54799979951,,,,,,49569.0,50446.0,49569.0,50447.0
0.0,-4.147295840084553e-10,20.678089531218575,-4.147295840084553e-10,2020/07/16,50006.54799981565,50006.5479997991,50138.03276409026,0.0,50006.5479997991,,,,,,49567.0,50445.0,49569.0,50446.0
0.0,-1.6952981241047382e-09,20.67558737829677,-1.6952981241047382e-09,2020/07/17,50006.54799981565,50006.5479997974,50158.708351468566,0.0,50006.5479997974,,,,,,49569.0,50446.0,49568.0,50446.0
0.0,-8.731149137020111e-11,20.67327614352689,-8.731149137020111e-11,2020/07/18,50006.54799981565,50006.547999797316,50179.38162761209,0.0,50006.547999797316,,,,,,49568.0,50445.0,49569.0,50446.0
0.0,1.775333657860756e-09,20.671141240498397,1.775333657860756e-09,2020/07/19,50006.54799981565,50006.54799979909,50200.052768852576,0.0,50006.54799979909,,,,,,49568.0,50446.0,49568.0,50446.0
0.0,-6.548361852765083e-10,20.669169230961412,-6.548361852765083e-10,2020/07/20,50006.54799981565,50006.54799979844,50220.721938083545,0.0,50006.54799979844,,,,,,49570.0,50445.0,49568.0,50445.0
0.0,2.764863893389702e-10,20.66734767514572,2.764863893389702e-10,2020/07/21,50006.54799981565,50006.54799979871,50241.38928575869,0.0,50006.54799979871,,,,,,49568.0,50445.0,49570.0,50446.0
0.0,-3.92901711165905e-10,20.665665102256753,-3.92901711165905e-10,2020/07/22,50006.54799981565,50006.54799979832,50262.05495086095,0.0,50006.54799979832,,,,,,49569.0,50446.0,49569.0,50446.0
0.0,-1.4551915228366852e-11,20.66411090382462,-1.4551915228366852e-11,2020/07/23,50006.54799981565,50006.547999798306,50282.719061764765,0.0,50006.547999798306,,,,,,49569.0,50445.0,49568.0,50446.0
0.0,5.093170329928398e-11,20.662675287407183,5.093170329928398e-11,2020/07/24,50006.54799981565,50006.54799979836,50303.38173705218,0.0,50006.54799979836,,,,,,49568.0,50446.0,49568.0,50446.0
0.0,-9.458744898438454e-11,20.661349202920974,-9.458744898438454e-11,2020/07/25,50006.54799981565,50006.54799979826,50324.0430862551,0.0,50006.54799979826,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,0.0,20.66012429540569,0.0,2020/07/26,50006.54799981565,50006.54799979826,50344.703210550506,0.0,50006.54799979826,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,-1.4551915228366852e-11,20.658992851553194,-1.4551915228366852e-11,2020/07/27,50006.54799981565,50006.54799979825,50365.36220340206,0.0,50006.54799979825,,,,,,49568.0,50444.0,49569.0,50445.0
0.0,-2.9103830456733704e-11,20.657947736901406,-2.9103830456733704e-11,2020/07/28,50006.54799981565,50006.54799979822,50386.02015113897,0.0,50006.54799979822,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,-7.275957614183426e-12,20.65698235516902,-7.275957614183426e-12,2020/07/29,50006.54799981565,50006.54799979821,50406.67713349413,0.0,50006.54799979821,,,,,,49569.0,50445.0,49567.0,50445.0
0.0,0.0,20.656090635588047,0.0,2020/07/30,50006.54799981565,50006.54799979821,50427.33322412972,0.0,50006.54799979821,,,,,,49570.0,50446.0,49569.0,50444.0
0.0,-7.275957614183426e-12,20.655266950510853,-7.275957614183426e-12,2020/07/31,50006.54799981565,50006.547999798204,50447.988491080236,0.0,50006.547999798204,,,,,,49570.0,50446.0,49569.0,50446.0
0.0,-2.1827872842550278e-11,20.654506113540265,-2.1827872842550278e-11,2020/08/01,50006.54799981565,50006.54799979818,50468.64299719377,0.0,50006.54799979818,,,,,,49569.0,50446.0,49569.0,50444.0
0.0,0.0,20.65380332759377,0.0,2020/08/02,50006.54799981565,50006.54799979818,50489.29680052137,0.0,50006.54799979818,,,,,,49568.0,50446.0,49569.0,50445.02500000002
0.0,0.0,20.653154163053838,0.0,2020/08/03,50006.54799981565,50006.54799979818,50509.949954684416,0.0,50006.54799979818,,,,,,49568.0,50446.0,49569.0,50446.0
0.0,2.1827872842550278e-11,20.652554529297053,2.1827872842550278e-11,2020/08/04,50006.54799981565,50006.547999798204,50530.60250921371,0.0,50006.547999798204,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,-2.1827872842550278e-11,19.189724426993045,-2.1827872842550278e-11,2020/08/05,50006.54799981565,50006.54799979818,50549.792233640714,0.0,50006.54799979818,,,,,,49569.0,50445.0,49569.0,50446.0
0.0,0.0,0.006224025688425172,0.0,2020/08/06,50006.54799981565,50006.54799979818,50549.798457666395,0.0,50006.54799979818,,,,,,49569.0,50446.0,49570.0,50445.0
0.0,0.0,0.005746762122726068,0.0,2020/08/07,50006.54799981565,50006.54799979818,50549.80420442852,0.0,50006.54799979818,,,,,,49568.0,50447.0,49568.0,50445.0
0.0,2.1827872842550278e-11,0.00530609752604505,2.1827872842550278e-11,2020/08/08,50006.54799981565,50006.547999798204,50549.809510526036,0.0,50006.547999798204,,,,,,49569.0,50445.0,49568.0,50446.0
0.0,-2.1827872842550278e-11,0.004899221814412158,-2.1827872842550278e-11,2020/08/09,50006.54799981565,50006.54799979818,50549.81440974786,0.0,50006.54799979818,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,0.0,0.004523544543189928,0.0,2020/08/10,50006.54799981565,50006.54799979818,50549.8189332924,0.0,50006.54799979818,,,,,,49569.0,50445.0,49569.0,50446.0
0.0,0.0,0.004176674476184417,0.0,2020/08/11,50006.54799981565,50006.54799979818,50549.823109966885,0.0,50006.54799979818,,,,,,49569.0,50445.0,49568.0,50444.0
0.0,0.0,0.003856405826809351,0.0,2020/08/12,50006.54799981565,50006.54799979818,50549.826966372704,0.0,50006.54799979818,,,,,,49568.0,50444.0,49569.0,50444.0
0.0,2.9103830456733704e-11,0.0035606919773272243,2.9103830456733704e-11,2020/08/13,50006.54799981565,50006.54799979821,50549.830527064674,0.0,50006.54799979821,,,,,,49570.0,50445.0,49568.0,50445.0
0.0,0.0,0.003287654421001207,0.0,2020/08/14,50006.54799981565,50006.54799979821,50549.8338147191,0.0,50006.54799979821,,,,,,49568.0,50444.0,49568.0,50445.0
0.0,0.0,0.0030355536655406468,0.0,2020/08/15,50006.54799981565,50006.54799979821,50549.836850272775,0.0,50006.54799979821,,,,,,49569.0,50446.0,49569.0,50446.0
0.0,-2.9103830456733704e-11,0.002802784241794143,-2.9103830456733704e-11,2020/08/16,50006.54799981565,50006.54799979818,50549.83965305701,0.0,50006.54799979818,,,,,,49570.0,50446.0,49569.0,50445.0
0.0,-2.1827872842550278e-11,0.0025878637316054665,-2.1827872842550278e-11,2020/08/17,50006.54799981565,50006.54799979816,50549.84224092074,0.0,50006.54799979816,,,,,,49568.0,50445.0,49569.0,50445.0
0.0,0.0,0.0023894215919426642,0.0,2020/08/18,50006.54799981565,50006.54799979816,50549.84463034233,0.0,50006.54799979816,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,2.1827872842550278e-11,0.0022061863928684033,2.1827872842550278e-11,2020/08/19,50006.54799981565,50006.54799979818,50549.84683652873,0.0,50006.54799979818,,,,,,49568.0,50445.0,49570.0,50445.0
0.0,5.093170329928398e-11,0.002037024089077022,5.093170329928398e-11,2020/08/20,50006.54799981565,50006.54799979823,50549.848873552815,0.0,50006.54799979823,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,3.637978807091713e-11,0.0018808239765348844,3.637978807091713e-11,2020/08/21,50006.54799981565,50006.54799979827,50549.850754376785,0.0,50006.54799979827,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,-2.1827872842550278e-11,0.001736600352160167,-2.1827872842550278e-11,2020/08/22,50006.54799981565,50006.54799979825,50549.85249097714,0.0,50006.54799979825,,,,,,49569.0,50444.0,49567.0,50446.0
