Confirm_interval_down,Confirm_interval_up,Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
915510.0,919257.0,366.8437828538008,2328.415881232475,2020/06/17,917381.792764009,464324.3338830888,453057.4588809202,,,,,
915853.0,919610.0,351.11126024567056,2297.307632077369,2020/06/18,917732.9040242546,462378.1375112571,455354.76651299756,,,,,
916194.0,919947.0,336.1013684704667,2266.8282551642624,2020/06/19,918069.0053927251,460447.4106245633,457621.5947681618,,,,,
916519.0,920272.0,321.78460841451306,2236.9637023411924,2020/06/20,918390.7900011396,458532.2315306366,459858.558470503,,,,,
916822.0,920575.0,308.13223071128596,2207.6999087637523,2020/06/21,918698.9222318509,456632.66385258414,462066.2583792668,,,,,
917116.0,920875.0,295.11620884086005,2179.023428608023,2020/06/22,918994.0384406918,454748.756632817,464245.2818078748,,,,,
917399.0,921161.0,282.70926470682025,2150.921139345737,2020/06/23,919276.7477053986,452880.54475817806,466396.20294722053,,,,,
917667.0,921428.0,270.8848673624452,2123.3802201428334,2020/06/24,919547.632572761,451028.0494053977,468519.58316736337,,,,,
917923.0,921684.0,259.6172442549141,2096.3882543941145,2020/06/25,919807.249817016,449191.2783952585,470615.9714217575,,,,,
918175.0,921937.0,248.88138935447205,2069.933029833075,2020/06/26,920056.1312063704,447370.22675477987,472685.90445159056,,,,,
918414.0,922172.0,238.6530915866606,2044.0026631595101,2020/06/27,920294.7842979571,445564.877183207,474729.90711475007,,,,,
918643.0,922405.0,228.9089204869233,2018.5855581951328,2020/06/28,920523.693218444,443775.2005454988,476748.4926729452,,,,,
918863.0,922624.0,219.62625221617054,1993.6703208207618,2020/06/29,920743.3194706602,442001.1564768942,478742.16299376596,,,,,
919073.0,922835.0,210.78326220798772,1969.2458158978843,2020/06/30,920954.1027328682,440242.6939232043,480711.40880966384,,,,,
919277.0,923039.0,202.35893292736728,1945.3011294122552,2020/07/01,921156.4616657955,438499.75172671943,482656.7099390761,,,,,
919468.0,923229.0,194.33304810815025,1921.8256446885644,2020/07/02,921350.7947139037,436772.259130139,484578.53558376466,,,,,
919655.0,923416.0,186.6861970575992,1898.808708534867,2020/07/03,921537.4809109613,435060.13661866175,486477.34429229953,,,,,
919836.0,923601.0,179.39975849131588,1876.2403278079582,2020/07/04,921716.8806694526,433363.2960493451,488353.5846201075,,,,,
920010.0,923771.0,172.45589029800612,1854.11024983658,2020/07/05,921889.3365597506,431681.64168980654,490207.69486994407,,,,,
920182.0,923938.0,165.8375233139377,1832.408704561356,2020/07/06,922055.1740830645,430015.0705085591,492040.1035745054,,,,,
920334.0,924097.0,159.52833782869857,1811.1259830222116,2020/07/07,922214.7024208932,428363.4728633656,493851.22955752764,,,,,
920490.0,924246.0,153.51275352493394,1790.2525830188533,2020/07/08,922368.2151744182,426726.7330338717,495641.4821405465,,,,,
920630.0,924399.0,147.77591334818862,1769.7792666172027,2020/07/09,922515.9910877664,425104.7296806027,497411.2614071637,,,,,
920777.0,924543.0,142.30365262308624,1749.6969070931082,2020/07/10,922658.2947403895,423497.33642613265,499160.9583142568,,,,,
920912.0,924677.0,137.0824879388092,1729.9966174786096,2020/07/11,922795.3772283283,421904.42229659285,500890.9549317354,,,,,
921044.0,924812.0,132.09959448990412,1710.6696833467577,2020/07/12,922927.4768228182,420325.852207736,502601.62461508217,,,,,
921177.0,924937.0,127.34277809225023,1691.7074866946787,2020/07/13,923054.8196009104,418761.48749913357,504293.33210177685,,,,,
