Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/05/10,19297.331176777043,21911.298372585054,197.17126362729323,59.72753750237098,1213.2806338969492,44.123944770931985,18084.050542880093,,,,,
2020/05/11,19484.60783128078,21966.804894490393,187.27665450373752,55.50652190533947,1257.7669171649509,44.48628326800167,18226.84091411583,,,,,
2020/05/12,19662.404039603192,22018.42151572439,177.79620832241199,51.61662123399583,1302.59094648942,44.824029324469166,18359.81309311377,,,,,
2020/05/13,19831.127035097044,22066.450692716062,168.72299549385207,48.02917699167301,1347.7291949960488,45.13824850662877,18483.397840100995,,,,,
2020/05/14,19991.175677473188,22111.168848527654,160.0486423761431,44.718155811591714,1393.1591799318344,45.42998493578557,18598.016497541354,,,,,
2020/05/15,20142.939286216715,22152.82876180292,151.76360874352758,41.65991327526717,1438.8594382059098,45.700258274075395,18704.079848010806,,,,,
2020/05/16,20286.796721344934,22191.661743461045,143.85743512821864,38.83298165812448,1484.8094993661641,45.950061160254336,18801.98722197877,,,,,
2020/05/17,20423.11567610376,22227.879610143584,136.3189547588263,36.21786668253844,1530.9898566212564,46.180357255092304,18892.125819482502,,,,,
2020/05/18,20552.252150149543,22261.676473150044,129.13647404578296,33.796863006460626,1577.3819365242286,46.39207990297223,18974.870213625316,,,,,
2020/05/19,20674.550083553204,22293.230358702716,122.29793340366086,31.553885552672,1623.9680675806276,46.586131056398926,19050.582015972577,,,,,
2020/05/20,20790.34112537746,22322.704673074368,115.79104182425726,29.474314371651417,1670.7314482016327,46.763380621005126,19119.609677175828,,,,,
2020/05/21,20899.94451649998,22350.249527826036,109.6033911225204,27.544854751668026,1717.6561143435383,46.92466614190562,19182.288402156442,,,,,
2020/05/22,21003.667069294286,22376.00293797651,103.72255279430465,25.753410150475247,1764.7269070772948,47.070792733756434,19238.94016221699,,,,,
2020/05/23,21101.803228719073,22400.091904925037,98.13615942478646,24.088966948525922,1811.9294403036638,47.20253322636904,19289.87378841541,,,,,
2020/05/24,21194.63521334751,22422.63339312971,92.83198462843575,22.541488204671623,1859.250068546854,47.320628243190185,19335.385144800654,,,,,
2020/05/25,21282.433193222918,22443.73521650199,87.79797987540951,21.101823372282524,1906.6758556412638,47.42578709440977,19375.757337581654,,,,,
2020/05/26,21365.455528359635,22463.496837343122,83.02233513671672,19.761620841130934,1954.1945437077266,47.5186880664628,19411.260984651908,,,,,
2020/05/27,21443.94903795236,22482.010090361106,78.49350959272488,18.513253017983516,2001.7945229719562,47.59997926422966,19442.154514980404,,,,,
2020/05/28,21518.14930453637,22499.359837068005,74.20026658401184,17.349746706899168,2049.464802240599,47.670279268642844,19468.68450229577,,,,,
2020/05/29,21588.280994997283,22515.624559410087,70.13169046091207,16.264722342082678,2097.1949803266093,47.730178086010255,19491.086014670673,,,,,
2020/05/30,21654.558203779306,22530.87689680529,66.27720878202308,15.25233739520263,2144.9752182511957,47.780237924586345,19509.58298552811,,,,,
2020/05/31,21717.18480446505,22545.184133588256,62.62660068574405,14.307236782966356,2192.7962124825353,47.82099423133968,19524.388591982515,,,,,
2020/06/01,21776.354811441386,22558.60864060621,59.17000697633557,13.424507017953147,2240.6491690428866,47.85295656035123,19535.705642398498,,,,,
2020/06/02,21832.252744926318,22571.20827772834,55.897933484931855,12.599637122129934,2288.5257785506774,47.87660950779082,19543.72696637564,,,,,
2020/06/03,21885.053998253712,22583.03675807737,52.80125332739408,11.828480349031452,2336.4181922444163,47.892413693738945,19548.635806009297,,,,,
2020/06/04,21934.925201155413,22594.143980479592,49.8712029017006,11.107222402220941,2384.3189990215346,47.900806777118305,19550.606202133877,,,,,
2020/06/05,21982.02458293995,22604.57633127994,47.0993817845374,10.432350800347194,2432.2212033270744,47.902204305539726,19549.803379612877,,,,,
2020/06/06,22026.502328333547,22614.37696044406,44.477745393596706,9.800629164121347,2480.1182040202198,47.8970006931454,19546.38412431333,,,,,
2020/06/07,22068.500927683323,22623.586032433966,41.99859934977576,9.209071989906079,2528.0037741546344,47.88557013441459,19540.49715352869,,,,,
2020/06/08,22108.15551869655,22632.240955824556,39.65459101322631,8.654923390589829,2575.8720416607753,47.86826750614091,19532.283477035773,,,,,
2020/06/09,22145.594221573938,22640.37659199106,37.438702877389005,8.135636166502081,2623.7174708559405,47.84542919516525,19521.876750718,,,,,
2020/06/10,22180.938459488687,22648.025448834152,35.3442379147491,7.648856843094109,2671.5348449165936,47.81737406065304,19509.403614572093,,,,,
2020/06/11,22214.303275629198,22655.217854295108,33.36481614051081,7.192405460955342,2719.319249044048,47.78440412745431,19494.98402658515,,,,,
2020/06/12,22245.7976352674,22661.9821186838,31.494359638203605,6.764264388693846,2767.0660545056057,47.74680546155787,19478.731580761796,,,,,
2020/06/13,22275.524719909463,22668.344681443155,29.727084642061527,6.36256275935375,2814.7709034052323,47.70484889962654,19460.75381650423,,,,,
2020/06/14,22303.582209147287,22674.33024683637,28.057489237824484,5.985565393213619,2862.429694222994,47.658790817761655,19441.152514924295,,,,,
2020/06/15,22330.062551498922,22679.961908864163,26.480342351635045,5.631662027793936,2910.038568069082,47.608873846088045,19420.02398342984,,,,,
2020/06/16,22355.05322638119,22685.261264981596,24.99067488226865,5.29935611743349,2957.5938955884294,47.55532751934743,19397.45933079276,,,,,
2020/06/17,22378.636992825002,22690.248522522794,23.583766443811328,4.987257541197323,3005.092264570998,47.498368982568536,19373.544728254004,,,,,
2020/06/18,22400.892130048516,22694.942594842898,22.255137223513884,4.694072320104169,3052.5304681497923,47.4382035787944,19348.361661898725,,,,,
2020/06/19,22421.892665809988,22699.361191829725,21.000535761471838,4.418596986826742,3099.9054936198772,47.37502547008489,19321.98717219011,,,,,
2020/06/20,22441.708596073757,22703.52090204724,19.815930263768678,4.159710217514657,3147.214511820231,47.309018200353876,19294.494084253525,,,,,
2020/06/21,22460.406093607126,22707.437269385307,18.697497533368733,3.916367338068085,3194.4548670881322,47.24035526790112,19265.95122651899,,,,,
2020/06/22,22478.047707358633,22711.124863687208,17.641613751507975,3.68759430190039,3241.624067729578,47.16920064144597,19236.423639629054,,,,,
2020/06/23,22494.6925529887,22714.597345942835,16.64484563006772,3.4724822556272557,3288.7197769755835,47.0957092460053,19205.972776013117,,,,,
2020/06/24,22510.39649378358,22717.86752925277,15.7039407948796,3.2701833099345095,3335.7398044212255,47.02002744564197,19174.656689362357,,,,,
2020/06/25,22525.212313394906,22720.947434472153,14.815819611325423,3.079905219383363,3382.6820979226036,46.94229350137812,19142.530215472303,,,,,
2020/06/26,22539.189879379894,22723.84834264513,13.97756598498745,2.900908172978234,3429.544735932395,46.862638009791226,19109.6451434475,,,,,
2020/06/27,22552.37629954685,22726.580843004256,13.18642016695594,2.7325003591249697,3476.325920230928,46.78118429853339,19076.050379315922,,,,,
2020/06/28,22564.81607000069,22729.154878047193,12.439770453838719,2.5740350429368846,3523.023969053888,46.69804882295966,19041.7921009468,,,,,
2020/06/29,22576.551215960462,22731.579785145215,11.735145959773945,2.4249070980222314,3569.63731059058,46.61334153669213,19006.913905369882,,,,,
2020/06/30,22587.62142542154,22733.86433530124,11.070209461078775,2.2845501560259436,3616.164476833044,46.52716624246386,18971.456948588497,,,,,
2020/07/01,22598.064175917792,22736.01676935557,10.442750496251392,2.1524340543292055,3662.604097758061,46.43962092501715,18935.460078159733,,,,,
2020/07/02,22607.914854945426,22738.044831432024,9.850679027633305,2.0280620764533523,3708.9548958263167,46.3507980682557,18898.959959119107,,,,,
2020/07/03,22617.20687384915,22739.95580041837,9.292018903724966,1.910968986347143,3755.215680784601,46.26078495828415,18861.99119306455,,,,,
2020/07/04,22625.971776080853,22741.756519002574,8.764902231701853,1.8007185842034232,3801.3853447493857,46.16966396478483,18824.586431331467,,,,,
2020/07/05,22634.239339627256,22743.453421053822,8.267563546403835,1.6969020512478892,3847.462857557957,46.0775128085711,18786.7764820693,,,,,
2020/07/06,22642.037674116553,22745.05255690402,7.798334489296394,1.5991358501960349,3893.4472623798147,45.98440482185788,18748.59041173674,,,,,
2020/07/07,22649.39331273528,22746.55961708579,7.355638618726516,1.5070601817715215,3939.3376715680224,45.89040918820774,18710.05564116726,,,,,
2020/07/08,22656.331299172394,22747.979954678558,6.937986437114887,1.4203375927681918,3985.133262738034,45.79559117001145,18671.19803643436,,,,,
2020/07/09,22662.875270122768,22749.318605795357,6.5439709503734775,1.3386511167991557,4030.8332750667714,45.70001232873756,18632.041995055995,,,,,
2020/07/10,22669.047533191933,22750.580309112367,6.172263069165638,1.2617033170099603,4076.437005793375,45.60373072660377,18592.61052739856,,,,,
2020/07/11,22674.869140683535,22751.769523919993,5.821607491601753,1.1892148076258309,4121.943806917076,45.50680112370037,18552.92533376646,,,,,
2020/07/12,22680.359959392394,22752.8904470558,5.490818708858569,1.1209231358079705,4167.353082077714,45.40927516063857,18513.006877314678,,,,,
2020/07/13,22685.538736585288,22753.94702890503,5.178777192893904,1.056581849228678,4212.6642836065885,45.311201528874335,18472.8744529787,,,,,
2020/07/14,22690.42316243433,22754.942988131526,4.8844258490426,0.9959592264967796,4257.876909747928,45.21262614133957,18432.546252686403,,,,,
2020/07/15,22695.029929006465,22755.88182569345,4.606766572134802,0.9388375619237195,4302.99050203112,45.11359228319179,18392.039426975345,,,,,
2020/07/16,22699.374786035693,22756.766837872212,4.344857029227569,0.8850121787618264,4348.00464279224,45.01414076111996,18351.370143243454,,,,,
2020/07/17,22703.472593647166,22757.60112848059,4.0978076114733994,0.834290608378069,4392.9189528340285,44.91431004178867,18310.553640813137,,,,,
2020/07/18,22707.337372224803,22758.387620420133,3.8647785776374803,0.786491939543339,4437.7330892122945,44.814136378266085,18269.604283012508,,,,,
2020/07/19,22710.982349462316,22759.129066369518,3.6449772375126486,0.7414459493847971,4482.446743153881,44.71365394158602,18228.535606308436,,,,,
2020/07/20,22714.420004850122,22759.8280589293,3.437655387806444,0.6989925597808906,4527.059638086968,44.61289493308777,18187.360366763154,,,,,
2020/07/21,22717.662111691996,22760.487040098396,3.242106841873465,0.6589811690973875,4571.571527783712,44.51188969674331,18146.090583908284,,,,,
2020/07/22,22720.71977679817,22761.10831014871,3.0576651061746816,0.6212700503128872,4615.982194607772,44.41066682406017,18104.7375821904,,,,,
2020/07/23,22723.603478023102,22761.69403603363,2.8837012249314284,0.5857258849209757,4660.291447856666,44.30925324889449,18063.312030166435,,,,,
2020/07/24,22726.32309963632,22762.246259194195,2.719621613217896,0.5522231605646084,4704.4991222032395,44.207674346573185,18021.82397743308,,,,,
2020/07/25,22728.887965780254,22762.766902955354,2.564866143933614,0.5206437611595902,4748.605076221122,44.10595401788214,17980.28288955913,,,,,
2020/07/26,22731.306872050467,22763.2577794606,2.4189062702134834,0.4908765052459785,4792.6091909943225,44.004114773200854,17938.697681056146,,,,,
2020/07/27,22733.588115294835,22763.720596163297,2.2812432443679427,0.4628167026967276,4836.511368806766,43.90217781244337,17897.07674648807,,,,,
2020/07/28,22735.739521790598,22764.156961977566,2.151406495762785,0.4363658142683562,4880.3115319028875,43.80016309612165,17855.42798988771,,,,,
2020/07/29,22737.768473792352,22764.568393011086,2.028952001754078,0.4114310335207847,4924.009621321728,43.69808941884094,17813.758852470623,,,,,
2020/07/30,22739.681934633736,22764.9563179864,1.9134608413842216,0.38792497531539993,4967.605595794596,43.595974472867965,17772.07633883914,,,,,
2020/07/31,22741.48647242091,22765.322083337982,1.8045377871749224,0.36576535158019396,5011.099430705218,43.493834910621445,17730.387041715694,,,,,
2020/08/01,22743.188282361603,22765.666957984067,1.7018099406923284,0.34487464608537266,5054.49111711074,43.391686405521796,17688.697165250866,,,,,
2020/08/02,22744.793207883966,22765.992137847446,1.604925522362464,0.32517986337916227,5097.780660815652,43.28954370491192,17647.012547068312,,,,,
2020/08/03,22746.30676052987,22766.298750080536,1.5135526459052926,0.306612233089254,5140.968081500486,43.18742068483425,17605.338679029384,,,,,
