Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/05/29,43827.556117711385,43827.780223422706,0.051196621025155764,1.0595176718197763e-06,3839.404414038021,54.558726542918066,39988.151703673364,43419.0,44239.0,43417.0,44239.0,,,,,
2020/05/30,43827.59779369589,43827.78022414407,0.04167598450294463,7.213675417006016e-07,3893.888866589509,54.48445255148772,39933.70892710638,43417.0,44238.0,43418.0,44239.0,,,,,
2020/05/31,43827.63171949868,43827.7802246355,0.033925802788871806,4.914254532195628e-07,3948.299134624686,54.41026803517707,39879.33258487399,43418.0,44239.0,43417.0,44239.0,,,,,
2020/06/01,43827.65933635142,43827.78022497044,0.027616852741630282,3.3494143281131983e-07,4002.635309676982,54.33617505229631,39825.02402667444,43419.0,44239.0,43418.0,44239.0,,,,,
2020/06/02,43827.68181747607,43827.78022519885,0.02248112465167651,2.284068614244461e-07,4056.897484929942,54.26217525295988,39770.78433254613,43418.0,44239.0,43419.0,44239.0,,,,,
2020/06/03,43827.70011792468,43827.78022535471,0.018300448609807063,1.5586556401103735e-07,4111.0857548849135,54.188269954971474,39716.614363039764,43418.0,44238.0,43418.0,44239.0,,,,,
2020/06/04,43827.71501514645,43827.78022546107,0.014897221772116609,1.0635994840413332e-07,4165.200215090598,54.114460205684736,39662.514800055855,43417.0,44239.0,43418.0,44239.0,,,,,
2020/06/05,43827.72714201503,43827.78022553375,0.012126868576160632,7.267954060807824e-08,4219.240961922913,54.04074683231465,39608.48618009211,43418.0,44239.0,43418.0,44239.0,,,,,
2020/06/06,43827.73701371823,43827.7802255834,0.00987170320149744,4.96511347591877e-08,4273.208092405787,53.96713048287438,39554.52892131244,43418.0,44239.0,43419.0,44238.0,,,,,
2020/06/07,43827.7450496333,43827.78022561734,0.008035915067011956,3.39350663125515e-08,4327.101704065419,53.89361165963146,39500.64334556788,43418.0,44238.0,43417.0,44239.0,,,,,
2020/06/08,43827.75159115159,43827.78022564058,0.006541518290759996,2.3239408619701862e-08,4380.92189481155,53.82019074613163,39446.829696340035,43417.0,44238.0,43417.0,44238.0,,,,,
2020/06/09,43827.75691617751,43827.78022565645,0.005325025922502391,1.5868863556534052e-08,4434.668762840936,53.74686802938595,39393.088153336575,43419.0,44239.0,43418.0,44238.0,,,,,
2020/06/10,43827.76125093506,43827.780225667346,0.004334757548349444,1.0899384506046772e-08,4488.342406558763,53.67364371782696,39339.4188443763,43418.0,44239.0,43418.0,44239.0,,,,,
2020/06/11,43827.76477957955,43827.7802256748,0.003528644490870647,7.450580596923828e-09,4541.942924514722,53.60051795595882,39285.82185506483,43418.0,44239.0,43418.0,44238.0,,,,,
2020/06/12,43827.767652019385,43827.7802256799,0.0028724398362101056,5.1004462875425816e-09,4595.470415351009,53.52749083628714,39232.297236668375,43417.0,44240.0,43418.0,44238.0,,,,,
2020/06/13,43827.769990285575,43827.78022568342,0.002338266189326532,3.521563485264778e-09,4648.924977760022,53.4545624090124,39178.845012525555,43418.0,44239.0,43419.0,44239.0,,,,,
2020/06/14,43827.77189371569,43827.780225685805,0.0019034301149076782,2.3865140974521637e-09,4702.306710449967,53.38173268994524,39125.465183265725,43418.0,44239.0,43417.0,44239.0,,,,,
2020/06/15,43827.77344317402,43827.78022568747,0.0015494583276449703,1.6661942936480045e-09,4755.615712116885,53.30900166691845,39072.15773105713,43418.0,44240.0,43418.0,44239.0,,,,,
